Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
15-05-2024,202311.10,258489.34,117282.81,117282.81,5147.11,4968.77
16-05-2024,280823.46,243849.29,140285.76,140285.76,5572.90,5037.09
17-05-2024,309577.36,245700.43,143826.83,143826.83,5958.13,5422.89
18-05-2024,240854.71,296704.36,148036.54,148036.54,5477.41,5224.14
19-05-2024,222962.85,312314.92,143747.87,143747.87,4939.48,5051.75
20-05-2024,255905.48,262655.54,144045.70,144045.70,5514.79,4989.01
21-05-2024,252173.39,283150.15,154430.18,154430.18,5547.46,4989.18
22-05-2024,233950.59,303251.68,159472.94,159472.94,5265.37,4948.41
23-05-2024,300997.93,283085.99,170770.46,170770.46,5814.00,5253.99
24-05-2024,306708.00,268551.13,164750.29,164750.29,6032.94,5231.82
25-05-2024,326411.32,243487.52,147936.74,147936.74,6335.26,5408.15
26-05-2024,209332.46,349080.54,149874.55,149874.55,4465.56,3869.46
27-05-2024,307102.13,317750.13,174391.75,174391.75,5457.92,4904.84
28-05-2024,239841.68,345006.39,168845.77,168845.77,4624.48,4308.46
29-05-2024,276553.23,326435.17,177144.16,177144.16,4833.72,4416.10
30-05-2024,299967.14,337333.55,180400.45,180400.45,4999.49,4650.00
31-05-2024,338584.70,275605.05,172936.25,172936.25,5866.31,5249.28
01-11-2022,247638.50,325120.65,164091.72,164091.72,4097.50,4249.63
02-11-2022,248062.54,306189.00,153336.62,153336.62,4243.67,4387.05
03-11-2022,263819.07,285667.45,159085.58,159023.58,4663.14,4909.34
04-11-2022,267117.66,275318.87,166300.62,166300.62,4817.89,5048.29
05-11-2022,290474.03,266494.72,173713.83,173713.83,5174.50,5357.06
06-11-2022,271311.56,286854.44,178181.22,178181.22,4380.49,4479.48
07-11-2022,287246.07,273079.98,183751.55,183751.55,5138.88,5285.89
08-11-2022,294416.54,300495.18,192408.94,192408.94,4653.94,4760.00
09-11-2022,290770.75,317240.28,180180.61,180180.61,4715.59,4881.83
10-11-2022,277304.33,314154.87,176065.35,176065.35,4685.94,4853.60
11-11-2022,251407.41,311699.98,155296.59,155296.59,4309.34,4466.23
12-11-2022,265831.11,299817.10,168317.72,168317.72,4406.12,4507.67
13-11-2022,243363.80,325592.87,153766.40,153766.40,3849.54,3921.11
14-11-2022,269741.09,297230.87,173374.78,173374.78,4524.67,4689.87
15-11-2022,254175.86,290102.37,163286.42,163286.42,4304.21,4488.02
16-11-2022,276245.64,290747.54,180141.61,180141.61,4634.68,4782.33
17-11-2022,284147.44,284325.63,185488.65,185488.65,4799.23,4943.57
18-11-2022,273710.97,262868.36,164862.33,164862.33,4861.51,5076.27
19-11-2022,273605.28,278795.01,168731.74,168731.74,4860.50,5056.05
20-11-2022,259821.83,322242.12,160840.68,160840.68,4024.10,4093.35
21-11-2022,261456.10,286586.88,156759.70,156759.70,4765.64,5018.00
22-11-2022,292478.81,299059.94,170738.23,170738.23,4890.65,5153.88
23-11-2022,267291.70,286803.67,161137.18,161137.18,4682.08,5017.89
24-11-2022,268958.10,269874.03,155737.85,155737.85,4871.00,5243.36
25-11-2022,272284.33,269357.39,158644.43,158644.43,4951.08,5293.05
26-11-2022,286716.99,296340.84,171357.02,171357.02,4953.52,5256.50
27-11-2022,240550.44,330962.37,159759.57,159759.57,4027.59,4121.43
28-11-2022,258953.15,322451.63,180718.73,180718.73,4419.54,4633.50
29-11-2022,270903.37,323490.31,183511.45,183511.45,4483.22,4698.37
30-11-2022,285963.46,315671.35,184322.69,184322.69,4750.39,4996.56
01-11-2023,284492.25,297653.69,189356.76,189356.76,4938.24,5047.84
02-11-2023,307377.36,314208.12,205730.82,205730.82,5008.32,5133.62
03-11-2023,287187.09,319266.78,199321.81,199321.81,4635.89,4721.57
04-11-2023,296540.56,298252.28,194526.91,194526.91,4973.76,4958.88
05-11-2023,269863.85,328354.87,185764.36,185764.36,4387.51,4516.78
06-11-2023,283578.56,318696.42,191489.11,191489.11,4715.46,4829.43
07-11-2023,254010.64,323730.57,170843.80,170843.80,4321.30,4484.10
08-11-2023,252252.39,317447.18,174647.13,174647.13,4203.34,4375.90
09-11-2023,271647.22,313655.83,190589.40,190589.40,4405.23,4521.80
10-11-2023,246667.98,299133.23,172270.77,172270.77,4164.51,4361.69
11-11-2023,225061.11,316693.95,161706.44,161706.44,3807.68,3943.21
12-11-2023,158716.91,366585.03,118454.73,118454.73,2863.55,2925.03
13-11-2023,160214.16,417234.70,123039.09,123039.09,2696.94,2748.44
